 -4.02 0.9 0.003494645 -0.9999939
_E -15.24848 1.425558 0.08191942 0.996639
_E -15.24848 1.425558 0.08365876 0.9964945
_E -15.24848 1.425558 0.08365876 0.9964945
_E -15.24848 1.425558 0.08365876 0.9964945
_E -15.24848 1.425558 0.08365876 0.9964945
_E -15.24848 1.425558 0.08365876 0.9964945
_E -15.24848 1.425558 0.08365876 0.9964945
_E -15.24848 1.425558 0.08278913 0.9965671
W -15.23858 1.484735 0.08278913 0.9965671
W -15.22878 1.54393 0.08191942 0.996639
W -15.21898 1.603125 0.08191938 0.996639
W -15.20919 1.662319 0.08191938 0.996639
W -15.1996 1.721548 0.08017981 0.9967805
W -15.19011 1.780793 0.07930994 0.99685
W -15.18093 1.840087 0.07669992 0.9970542
W -15.17238 1.899474 0.07147835 0.9974422
W -15.16465 1.958975 0.0645132 0.9979169
W -15.15796 2.018601 0.05580239 0.9984418
W -15.1519 2.078294 0.05057383 0.9987203
W -15.14647 2.138047 0.04534388 0.9989715
W -15.14134 2.197828 0.04272841 0.9990867
W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.9991236
_W -15.13633 2.257618 0.04185653 0.99912
