 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
_E -4.047655 1.518623 0.02531226 -0.9996796
_E -4.047655 1.518623 0.02531226 -0.9996796
_E -4.047655 1.518623 0.02531226 -0.9996796
_E -4.047655 1.518623 0.02705712 -0.9996339
_E -4.047655 1.518623 0.03665189 -0.9993281
_E -4.047655 1.518623 0.0523439 -0.9986291
_E -4.047655 1.518623 0.07672716 -0.9970521
_E -4.047655 1.518623 0.1036689 -0.9946119
_E -4.047655 1.518623 0.1443645 -0.9895246
_E -4.047655 1.518623 0.1899608 -0.9817917
_E -4.047655 1.518623 0.2402367 -0.9707143
_E -4.047655 1.518623 0.2973834 -0.9547582
_E -4.047655 1.518623 0.3754238 -0.9268532
_E -4.047655 1.518623 0.4391634 -0.8984072
_E -4.047655 1.518623 0.4962244 -0.8681943
_E -4.047655 1.518623 0.5483016 -0.8362807
_E -4.047655 1.518623 0.5983325 -0.8012479
_E -4.047655 1.518623 0.6327131 -0.7743862
_E -4.047655 1.518623 0.665889 -0.7460508
_E -4.047655 1.518623 0.6952929 -0.7187265
_E -4.047655 1.518623 0.7169173 -0.6971582
_E -4.047655 1.518623 0.7349212 -0.6781525
_E -4.047655 1.518623 0.7501175 -0.6613045
_E -4.047655 1.518623 0.76211 -0.6474476
_E -4.047655 1.518623 0.7705194 -0.6374167
_E -4.047655 1.518623 0.7787968 -0.6272763
_E -4.047655 1.518623 0.7831571 -0.621824
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7842412 -0.620456
_E -4.047655 1.518623 0.7831573 -0.6218236
_E -4.047655 1.518623 0.774399 -0.6326975
_E -4.047655 1.518623 0.7552885 -0.6553924
_E -4.047655 1.518623 0.7277799 -0.6858108
_E -4.047655 1.518623 0.694666 -0.7193325
_E -4.047655 1.518623 0.6547488 -0.7558466
_E -4.047655 1.518623 0.6046075 -0.7965235
_E -4.047655 1.518623 0.5461112 -0.8377126
_E -4.047655 1.518623 0.4586595 -0.8886121
_E -4.047655 1.518623 0.379467 -0.9252053
_E -4.047655 1.518623 0.3106879 -0.950512
_E -4.047655 1.518623 0.2487019 -0.9685801
_E -4.047655 1.518623 0.1968146 -0.9804407
_E -4.047655 1.518623 0.1504112 -0.9886236
_E -4.047655 1.518623 0.1140839 -0.9934711
_E -4.047655 1.518623 0.08716966 -0.9961935
_E -4.047655 1.518623 0.0697705 -0.9975631
_E -4.047655 1.518623 0.04799253 -0.9988477
_E -4.047655 1.518623 0.03840233 -0.9992624
